"Acer Aspire 5 A515-57-76BV Intel Core i7-1255U/8GB/512GB SSD/15.6""",Acer,Aspire,Intel Core i7,8,512,SSD,,15.6,No,839
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8 GB/256GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,499
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8 GB/512GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,,15.6,No,699
"MSI Pulse 15 B13VFK-448XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/15.6""",MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4060,15.6,No,2399.01
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/128GB SSD/15.6""",Lenovo,IdeaPad,AMD 3020e,4,128,SSD,,15.6,No,442.99
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,689.01
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16 GB/512GB SSD/15.6""",Lenovo,IdeaPad,Intel Core i5,16,512,SSD,,15.6,No,749
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/256GB SSD/15.6""",Lenovo,IdeaPad,AMD 3020e,4,256,SSD,,15.6,No,321.99
"MSI Modern 15 B11M-043XES Intel Core i5-1155G7/8GB/512GB SSD/15.6""",MSI,Modern,Intel Core i5,8,512,SSD,,15.6,No,599
"ASUS ZenBook 13 OLED UX325EA-KG448W Intel Core i7-1165G7/16GB/512GB SSD/13.3""",Asus,ZenBook,Intel Core i7,16,512,SSD,,13.3,No,1199
"ASUS TUF Gaming F15 FX506HF-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 2050/15.6""",Asus,TUF,Intel Core i5,16,512,SSD,RTX 2050,15.6,No,949
"ASUS VivoBook F1605PA-MB125W Intel Core i5-11300H/16GB/512GB SSD/16""",Asus,VivoBook,Intel Core i5,16,512,SSD,,16,No,799
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/15.6""",Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3070,15.6,No,3299.99
"Medion Akoya E15301 AMD Ryzen 7 3700U/8 GB/256GB SSD/15.6""",Medion,Akoya,AMD Ryzen 7,8,256,SSD,,15.6,No,478.99
"ASUS ExpertBook B1 B1502CBA-EJ0469X Intel Core i5-1235U/8GB/256GB SSD/15.6""",Asus,ExpertBook,Intel Core i5,8,256,SSD,,15.6,No,989
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8 GB/256GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,439.99
"HP 15S-eq2089ns AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",HP,15S,AMD Ryzen 3,8,256,SSD,,15.6,No,529
"ASUS VivoBook F1605PA-MB143 Intel Core i7-11370H/8GB/512GB SSD/16""",Asus,VivoBook,Intel Core i7,8,512,SSD,,16,No,709
"ASUS Vivobook Go E1504FA-BQ204W AMD Ryzen 5 7520U/8GB/512GB SSD/Radeon 610M/15.6""",Asus,VivoBook,AMD Ryzen 5,8,512,SSD,610 M,15.6,No,509.99
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,659
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512GBSSD/15.6""",Lenovo,IdeaPad,Intel Core i7,16,512,SSD,,15.6,No,749
