103,infinix,Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home),431.88,intel,core i5,16,SSD,1024,intel,integrated,FALSE,14,windows
104,asus,Asus Vivobook Pro 15 M6500RC-HN741WS Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),875.88,amd,ryzen 7,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
105,hp,HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),671.88,amd,ryzen 5,8,SSD,512,nvidia,dedicated,FALSE,15.6,windows
106,lenovo,Lenovo Yoga 7 82YM0074IN Laptop (AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home),1139.88,amd,ryzen 7,16,SSD,1024,amd,integrated,TRUE,14,windows
107,hp,HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),621.6,intel,core i5,8,SSD,512,intel,integrated,FALSE,15.6,windows
109,hp,HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),597.3,amd,ryzen 5,8,SSD,512,amd,dedicated,FALSE,15.6,windows
110,asus,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),647.88,intel,core i5,8,SSD,512,nvidia,dedicated,FALSE,15.6,windows
112,lenovo,Lenovo LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),959.88,intel,core i5,16,SSD,512,nvidia,dedicated,FALSE,15.6,windows
113,msi,MSI Modern 15 B11M-061IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),503.88,intel,core i5,16,SSD,512,intel,integrated,FALSE,15.6,windows
114,acer,Acer Aspire Lite AL15 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),455.88,amd,ryzen 5,16,SSD,512,amd,integrated,FALSE,15.6,windows
115,asus,Asus Vivobook 14X K3405ZFB-KM752WS Laptop (12th Gen Core i7 /16GB/ 1TB SSD/Win11/ 4GB Graphic),1031.88,intel,core i7,16,SSD,1024,nvidia,dedicated,FALSE,14,windows
